IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;;
;;;;;Container Instances;Container Instances;Core Duration;Microsoft.ContainerInstance;;
;;;;;Container Instances;Container Instances;Duration;Microsoft.ContainerInstance;;
;;;;;Container Instances;Container Instances;Executions;Microsoft.ContainerInstance;;
;;;;;Container Instances;;Memory Duration;Microsoft.ContainerInstance;;
;;;;;Container Instances;;vCPU Duration;Microsoft.ContainerInstance;;
;;;;;Container Registry;Small;Registry Unit;Microsoft.ContainerRegistry;;
;;;;;Container Registry;Basic;Registry Unit;Microsoft.ContainerRegistry;;
;;;;;Container Registry;Standard;Registry Unit;Microsoft.ContainerRegistry;;
;;;;;Container Registry;Premium;Registry Unit;Microsoft.ContainerRegistry;;
;;;;;Container Registry;;%Duration;Microsoft.ContainerRegistry;;
;;;;;Container Registry;;Small Registry Unit;Microsoft.ContainerRegistry;;
;;;;;Container Registry;;Basic Registry Unit;Microsoft.ContainerRegistry;;
;;;;;Container Registry;;Standard Registry Unit;Microsoft.ContainerRegistry;;
;;;;;Container Registry;;Premium Registry Unit;Microsoft.ContainerRegistry;;
;;;;;Cortana Intelligence;Customer Insights;Basic (Daily Unit);Microsoft.CustomerInsights;;
;;;;;Data Box;;;Microsoft.DataBox;;
;;;;;Data Lake Analytics;;Pay-as-you-go Analytics Units;Microsoft.DataLakeAnalytics;;
;;;;;Data Lake Store;;Pay-as-you-go Data at Rest;Microsoft.DataLakeStore;;
;;;;;Data Lake Store;;%Transactions%;Microsoft.DataLakeStore;;
;;;;;Data Management;;Geo-Replicated Data Transfer%;;;
;;;;;Data Management;Geo Redundant;;;;
;;;;;Data Management;;;;;
;;;;;Data Services;;;;;
;;;;;SQL Data Warehouse;Compute Optimized%;100 DWUs;Microsoft.Sql;;
;;;;;Bandwidth;;%Data Transfer%;Microsoft.MachineLearningServices;;
;;;;;Bandwidth;;%Data Transfer%;Microsoft.Search;;
;;;;;Network Watcher;Network Watcher;Diagnostic Tool API;Microsoft.Network;;
;;;;;Network Watcher;;%;microsoft.operationalinsights;;
;;;;;Network Watcher;;%;Microsoft.Network;;
;;;;;Application Gateway;Standard v2;Fixed Cost;Microsoft.Network;;
;;;;;Application Gateway;Standard v2;Capacity Units;Microsoft.Network;;
;;;;;Application Gateway;Basic;%Data%;Microsoft.Network;;
;;;;;Application Gateway;Basic;%Gateway%;Microsoft.Network;;
;;;;;Application Gateway;WAF;%Gateway%;Microsoft.Network;;
;;;;;Application Gateway;WAF v2;;Microsoft.Network;;
